#Time[sec]	Frequency[Hz]	Power[(m/s)^2ÅEs]
14.08	3.90625	1.21190622516983E-17
14.08	4.296875	3.55119717278936E-18
14.08	4.6875	2.01014622977849E-18
14.08	5.078125	3.50242673157476E-17
14.08	5.46875	2.31692674587862E-17
14.08	5.859375	1.69903587675418E-18
14.08	6.25	5.41986375792887E-19
14.08	6.640625	1.41617987650449E-17
14.08	7.03125	1.33155711330315E-17
14.08	7.421875	4.35128554144994E-17
14.08	7.8125	8.02992035784867E-19
14.08	8.203125	1.2576997711549E-18
14.08	8.59375	1.03445054036867E-17
14.08	8.984375	6.10411430864448E-18
14.08	9.375	2.70541335194375E-19
14.08	9.765625	3.13656274941951E-18
14.08	10.15625	1.26380836287849E-18
14.08	10.546875	6.36823330995829E-18
14.08	10.9375	9.19043842384372E-18
14.08	11.328125	1.57013292400244E-17
14.08	11.71875	1.20853273256274E-17
14.08	12.109375	6.38836714706345E-18
14.08	12.5	1.34153899851971E-17
14.08	12.890625	4.17246284999799E-18
14.08	13.28125	2.76051824917157E-18
14.08	13.671875	4.09536473225351E-18
14.08	14.0625	1.44743010949033E-17
14.08	14.453125	1.67766023070954E-17
14.08	14.84375	1.07451146286462E-17
14.08	15.234375	8.17453744564754E-19
14.08	15.625	2.13500991422463E-19
14.08	16.015625	2.4340412144022E-18
14.08	16.40625	4.15730957048884E-18
14.08	16.796875	6.76922854502512E-18
14.08	17.1875	3.97935730686969E-18
14.08	17.578125	8.7509876476805E-19
14.08	17.96875	1.84271541988324E-18
14.08	18.359375	3.32095631081758E-20
14.08	18.75	1.06122869938271E-18
14.08	19.140625	1.28579913233106E-18
14.08	19.53125	1.22947882989211E-18
14.08	19.921875	3.74465299118905E-18
